Time,ECG
1.352,0.6
1.354,1.0
1.356,1.0
1.358,0.3
1.36,0.2
1.362,-0.1
1.364,0.2
1.366,0.1
1.368,0.3
1.37,0.0
1.372,1.4
1.374,1.2
1.3760000000000001,0.3
1.3780000000000001,0.0
1.3800000000000001,0.3
1.3820000000000001,-0.4
1.3840000000000001,-0.3
1.3860000000000001,0.2
1.3880000000000001,0.2
1.3900000000000001,0.0
1.3920000000000001,1.1
1.3940000000000001,0.6
1.3960000000000001,0.9
1.3980000000000001,0.7
1.4000000000000001,1.0
1.4020000000000001,0.2
1.4040000000000001,0.3
1.4060000000000001,0.7
1.408,1.1
1.41,0.5
1.412,1.4
1.414,1.7
1.416,1.2
1.418,1.2
1.42,1.6
1.422,0.7
1.424,0.8
1.426,1.1
1.428,1.6
1.43,1.8
1.432,2.5
1.434,2.6
1.436,1.9
1.438,2.1
1.44,3.0
1.442,2.0
1.444,2.0
1.446,2.0
1.448,2.6
1.45,2.6
1.452,2.6
1.454,2.9
1.456,3.0
1.458,2.9
1.46,3.2
1.462,3.5
1.464,3.7
1.466,3.9
1.468,3.9
1.47,3.8
1.472,4.0
1.474,3.8
1.476,4.4
1.478,4.3
1.48,4.3
1.482,4.0
1.484,4.4
1.486,4.4
1.488,4.6
1.49,4.6
1.492,5.0
1.494,5.1
1.496,5.0
1.498,4.6
1.5,4.3
1.502,4.4
1.504,4.4
1.506,4.4
1.508,4.6
1.51,4.8
1.512,4.6
1.514,3.9
1.516,4.1
1.518,3.9
1.52,3.8
1.522,3.5
1.524,3.4
1.526,2.8
1.528,2.7
1.53,2.6
1.532,1.7
1.534,1.8
1.536,1.3
1.538,1.8
1.54,0.9
1.542,0.9
1.544,0.9
1.546,0.9
1.548,0.7
1.55,1.1
1.552,0.9
1.554,0.5
1.556,0.1
1.558,0.4
1.56,-0.4
1.562,-0.8
1.564,-0.1
1.566,0.3
1.568,0.0
1.57,0.2
1.572,-0.1
1.574,-0.2
1.576,-0.5
1.578,-0.4
1.58,-1.0
1.582,-0.9
1.584,-0.7
1.586,-0.6
1.588,-0.4
1.59,-0.4
1.592,-0.2
1.594,0.2
1.596,-1.0
1.598,-0.8
1.6,-1.1
1.602,-0.9
1.604,-0.2
1.606,-0.2
1.608,-0.7
1.61,0.6
1.612,0.5
1.614,0.1
1.616,-0.6
1.618,-0.6
1.62,-1.4
1.622,-1.2
1.624,-0.4
1.6260000000000001,-0.4
1.6280000000000001,-0.6
1.6300000000000001,0.3
1.6320000000000001,0.4
1.6340000000000001,-0.1
1.6360000000000001,-0.1
1.6380000000000001,-0.1
1.6400000000000001,-0.8
1.6420000000000001,-0.7
1.6440000000000001,-0.3
1.6460000000000001,-0.4
1.6480000000000001,-0.5
1.6500000000000001,0.2
1.6520000000000001,-0.1
1.6540000000000001,-0.1
1.6560000000000001,-0.7
1.6580000000000001,-0.4
1.6600000000000001,-0.5
1.6620000000000001,-0.5
1.6640000000000001,-0.5
1.666,-0.2
1.668,-0.5
1.67,0.3
1.672,0.4
1.674,0.1
1.676,-0.2
1.678,-0.1
1.68,-0.9
1.682,-0.8
1.684,0.1
1.686,-0.1
1.688,0.1
1.69,0.8
1.692,0.8
1.694,-0.2
1.696,0.1
1.698,-0.2
1.7,-0.9
1.702,-0.6
1.704,-0.5
1.706,-0.4
1.708,-0.4
1.71,0.0
1.712,0.4
1.714,0.6
1.716,-0.2
1.718,-0.1
1.72,-0.7
1.722,-0.5
1.724,0.0
1.726,0.0
1.728,0.3
1.73,0.4
1.732,0.5
1.734,0.0
1.736,-0.3
1.738,-0.2
1.74,-1.1
1.742,-0.8
1.744,-0.3
1.746,-0.1
1.748,-0.1
1.75,0.0
1.752,0.1
1.754,0.0
1.756,0.0
1.758,-0.1
1.76,-0.1
1.762,-0.1
1.764,0.3
1.766,0.2
1.768,0.3
1.77,0.3
1.772,-0.2
1.774,-0.7
1.776,-0.7
1.778,-0.5
1.78,-0.1
1.782,-0.1
1.784,0.0
1.786,-0.3
1.788,-0.1
1.79,-0.1
1.792,-0.4
1.794,-0.4
1.796,-0.2
1.798,-0.1
1.8,-0.4
1.802,-0.3
1.804,-0.3
1.806,-0.1
1.808,0.4
1.81,-0.1
1.812,-0.6
1.814,-0.4
1.816,-0.4
1.818,-0.4
1.82,-0.7
1.822,-0.1
1.824,-0.1
1.826,-0.6
1.828,0.3
1.83,0.2
1.832,-0.2
1.834,-0.4
1.836,0.4
1.838,-0.2
1.84,0.0
1.842,0.2
1.844,-0.3
1.846,-0.3
1.848,0.4
1.85,0.3
1.852,-0.9
1.854,-0.6
1.856,-0.2
1.858,-0.6
1.86,-0.6
1.862,-0.4
1.864,-0.2
1.866,0.1
1.868,1.3
1.87,0.4
1.872,0.4
1.874,-0.2
1.8760000000000001,0.0
1.8780000000000001,-0.4
1.8800000000000001,-0.6
1.8820000000000001,-0.2
1.8840000000000001,0.0
1.8860000000000001,-0.1
1.8880000000000001,0.4
1.8900000000000001,0.0
1.8920000000000001,-0.2
1.8940000000000001,-0.1
1.8960000000000001,0.8
1.8980000000000001,-0.1
1.9000000000000001,-0.4
1.9020000000000001,-0.3
1.9040000000000001,-0.1
1.9060000000000001,-0.3
1.9080000000000001,0.8
1.9100000000000001,0.0
1.9120000000000001,0.0
1.9140000000000001,-0.2
1.9160000000000001,0.4
1.9180000000000001,0.0
1.92,-0.5
1.922,-0.2
1.924,-0.3
1.926,0.0
1.928,-0.1
1.93,-0.4
1.932,0.0
1.934,-0.8
1.936,0.1
1.938,-0.4
1.94,-0.5
1.942,-0.1
1.944,-0.7
1.946,-0.2
1.948,0.4
1.95,0.3
1.952,-0.1
1.954,0.1
1.956,0.1
1.958,-0.4
1.96,0.2
1.962,0.3
1.964,0.2
1.966,0.2
1.968,0.9
1.97,0.2
1.972,0.6
1.974,0.1
1.976,0.4
1.978,0.2
1.98,0.3
1.982,0.3
1.984,1.0
1.986,0.8
1.988,0.8
1.99,0.7
1.992,0.4
1.994,0.6
1.996,0.7
1.998,0.4
2.0,0.1
2.0020000000000002,0.2
2.004,0.2
2.0060000000000002,0.2
2.008,1.0
2.0100000000000002,0.7
2.012,0.7
2.0140000000000002,0.2
2.016,0.0
2.0180000000000002,-0.7
2.02,-0.3
2.0220000000000002,-0.3
2.024,0.2
2.0260000000000002,0.0
2.028,0.1
2.0300000000000002,-0.4
2.032,-0.6
2.0340000000000003,-0.1
2.036,-0.3
2.0380000000000003,-0.6
2.04,-0.4
2.0420000000000003,0.1
2.044,-0.6
2.0460000000000003,-0.6
2.048,-0.4
2.05,-0.1
2.052,-0.4
2.054,-0.1
2.056,-0.4
2.058,-0.9
2.06,-0.7
2.062,-0.6
2.064,-0.4
2.066,-0.7
2.068,-0.4
2.07,-0.7
2.072,-0.4
2.074,-0.5
2.076,-0.1
2.078,-0.6
2.08,-0.4
2.082,-0.8
2.084,-0.4
2.086,-0.6
2.088,-0.5
2.09,-0.7
2.092,-1.5
2.094,-1.5
2.096,-2.1
2.098,-2.2
2.1,-1.9
2.102,-0.7
2.104,-0.3
2.106,1.0
2.108,2.6
2.11,4.1
2.112,5.1
2.114,6.5
2.116,7.9
2.118,8.8
2.12,9.4
2.122,8.1
2.124,6.6
2.126,6.5
2.128,6.4
2.13,5.5
2.132,3.2
2.134,1.9
2.136,-1.1
2.138,-3.9
2.14,-3.7
2.142,-3.0
2.144,-2.8
2.146,-2.1
2.148,-2.4
2.15,-2.5
2.152,-2.4
2.154,-1.8
2.156,-2.6
2.158,-2.4
2.16,-2.1
2.162,-1.4
2.164,-0.8
2.166,0.4
2.168,0.0
2.17,0.0
2.172,-0.1
2.174,0.2
2.176,-0.5
2.178,-0.6
2.18,-0.6
2.182,-0.3
2.184,-0.7
2.186,0.3
2.188,0.3
2.19,-0.1
2.192,-0.1
2.194,0.4
2.196,-0.4
2.198,0.0
2.2,0.1
2.202,-0.2
2.204,-0.5
2.206,0.6
2.208,0.6
2.21,0.1
2.212,-0.5
2.214,0.1
2.216,-0.5
2.218,-0.7
2.22,-0.2
2.222,0.2
2.224,0.1
2.226,0.6
2.228,0.9
2.23,1.0
2.232,0.5
2.234,0.1
2.236,-0.5
2.238,-0.3
2.24,-0.1
2.242,0.4
2.244,0.6
2.246,0.7
2.248,0.8
2.25,0.1
2.2520000000000002,-0.1
2.254,1.0
2.2560000000000002,0.2
2.258,0.2
2.2600000000000002,0.5
2.262,0.6
2.2640000000000002,0.4
2.266,0.8
2.2680000000000002,0.4
2.27,0.4
2.2720000000000002,0.4
2.274,1.0
2.2760000000000002,0.2
2.278,0.2
2.2800000000000002,0.3
2.282,0.7
2.2840000000000003,0.7
2.286,1.2
2.2880000000000003,0.9
2.29,0.9
2.2920000000000003,1.3
2.294,1.6
2.2960000000000003,0.7
2.298,0.7
2.3000000000000003,1.0
2.302,1.6
2.3040000000000003,1.3
2.306,2.0
2.308,1.5
2.31,2.1
2.312,1.8
2.314,1.8
2.316,2.0
2.318,1.8
2.32,1.9
2.322,2.2
2.324,2.5
2.326,2.3
2.328,2.7
2.33,2.7
2.332,3.3
2.334,3.2
2.336,2.9
2.338,2.9
2.34,3.2
2.342,3.3
2.344,3.3
2.346,4.3
2.348,4.0
2.35,3.9
2.352,4.4
2.354,4.3
2.356,4.7
2.358,4.4
2.36,4.3
2.362,4.3
2.364,4.4
2.366,4.1
2.368,4.2
2.37,3.8
2.372,4.7
2.374,4.3
2.376,4.1
2.378,3.9
2.38,3.9
2.382,4.0
2.384,4.4
2.386,3.9
2.388,3.7
2.39,3.3
2.392,3.1
2.394,3.0
2.396,2.8
2.398,2.4
2.4,2.5
2.402,2.1
2.404,2.1
2.406,1.6
2.408,0.9
2.41,0.7
2.412,0.8
2.414,0.3
2.416,0.4
2.418,0.5
2.42,0.7
2.422,0.1
2.424,0.6
2.426,0.0
2.428,-0.2
2.43,-0.2
2.432,-0.3
2.434,-1.4
2.436,-1.1
2.438,-1.2
2.44,-1.3
2.442,-1.6
2.444,-0.4
2.446,-0.4
2.448,-1.1
2.45,-1.1
2.452,-0.9
2.454,-1.6
2.456,-1.6
2.458,-1.6
2.46,-1.7
2.462,-1.7
2.464,-1.3
2.466,-1.3
2.468,-1.2
2.47,-1.8
2.472,-1.5
2.474,-2.2
2.476,-1.6
2.478,-1.7
2.48,-1.2
2.482,-1.3
2.484,-0.7
2.486,-0.7
2.488,-0.9
2.49,-1.7
2.492,-1.7
2.494,-2.1
2.496,-1.8
2.498,-1.8
2.5,-1.8
2.5020000000000002,-2.1
2.504,-1.3
2.5060000000000002,-1.4
2.508,-1.2
2.5100000000000002,-1.4
2.512,-1.5
2.5140000000000002,-1.7
2.516,-1.5
2.5180000000000002,-1.5
2.52,-1.4
2.5220000000000002,-2.0
2.524,-1.8
2.5260000000000002,-1.4
2.528,-1.6
2.5300000000000002,-1.5
2.532,-1.7
2.5340000000000003,-2.2
2.536,-1.8
2.5380000000000003,-1.1
2.54,-1.1
2.5420000000000003,-1.6
2.544,-1.0
2.5460000000000003,-1.2
2.548,-1.3
2.5500000000000003,-1.6
2.552,-1.6
2.5540000000000003,-2.2
2.556,-1.8
2.5580000000000003,-1.5
2.56,-1.4
2.562,-1.0
2.564,-0.6
2.566,-1.0
2.568,-1.5
2.57,-1.7
2.572,-1.2
2.574,-1.6
2.576,-1.8
2.578,-1.3
2.58,-1.2
2.582,-1.2
2.584,-1.2
2.586,-1.7
2.588,-1.4
2.59,-1.6
2.592,-1.3
2.594,-1.6
2.596,-1.6
2.598,-1.0
2.6,-1.1
2.602,-1.1
2.604,-1.0
2.606,-1.6
2.608,-1.3
2.61,-1.5
2.612,-1.3
2.614,-1.2
2.616,-1.3
2.618,-1.0
2.62,-1.3
2.622,-1.2
2.624,-1.0
2.626,-1.4
2.628,-1.7
2.63,-1.9
2.632,-1.4
2.634,-1.4
2.636,-1.2
2.638,-1.2
2.64,-1.3
2.642,-1.1
2.644,-1.5
2.646,-1.2
2.648,-1.2
2.65,-1.4
2.652,-2.2
2.654,-2.0
2.656,-1.9
2.658,-1.0
2.66,-1.4
2.662,-1.3
2.664,-0.9
2.666,-1.3
2.668,-1.5
2.67,-1.4
2.672,-2.0
2.674,-2.0
2.676,-1.9
2.678,-1.8
2.68,-1.6
2.682,-1.3
2.684,-1.3
2.686,-1.8
2.688,-1.9
2.69,-1.5
2.692,-1.8
2.694,-1.7
2.696,-1.9
2.698,-1.6
2.7,-2.2
2.702,-1.4
2.704,-1.1
2.706,-1.9
2.708,-1.9
2.71,-1.7
2.712,-2.2
2.714,-1.7
2.716,-1.7
2.718,-1.5
2.72,-2.0
2.722,-1.7
2.724,-1.5
2.726,-1.7
2.728,-1.7
2.73,-1.6
2.732,-2.3
2.734,-2.0
2.736,-1.5
2.738,-1.2
2.74,-1.6
2.742,-1.2
2.744,-1.5
2.746,-2.1
2.748,-1.5
2.75,-1.4
2.7520000000000002,-2.0
2.754,-2.2
2.7560000000000002,-2.2
2.758,-1.8
2.7600000000000002,-1.6
2.762,-1.2
2.7640000000000002,-1.3
2.766,-2.1
2.7680000000000002,-2.5
2.77,-2.0
2.7720000000000002,-2.4
2.774,-1.7
2.7760000000000002,-1.2
2.778,-0.7
2.7800000000000002,-1.8
2.782,-1.3
2.7840000000000003,-1.7
2.786,-1.7
2.7880000000000003,-1.7
2.79,-0.6
2.7920000000000003,-1.7
2.794,-1.2
2.7960000000000003,-1.3
2.798,-1.2
2.8000000000000003,-1.4
2.802,-0.9
2.8040000000000003,-1.0
2.806,-0.9
2.8080000000000003,-0.8
2.81,-0.8
2.8120000000000003,-1.2
2.814,-1.5
2.816,-1.5
2.818,-0.4
2.82,-0.4
2.822,-0.4
2.824,-0.8
2.826,-1.6
2.828,-1.8
2.83,-1.3
2.832,-1.5
2.834,-1.2
2.836,-1.7
2.838,-1.1
2.84,-1.4
2.842,-1.0
2.844,-1.3
2.846,-1.8
2.848,-2.2
2.85,-2.6
2.852,-2.5
2.854,-2.5
2.856,-2.2
2.858,-1.6
2.86,-1.7
2.862,-1.4
2.864,-1.6
2.866,-2.3
2.868,-2.6
2.87,-2.4
2.872,-2.7
2.874,-2.7
2.876,-2.1
2.878,-2.3
2.88,-2.1
2.882,-1.7
2.884,-1.9
2.886,-2.6
2.888,-2.5
2.89,-2.6
2.892,-3.2
2.894,-3.0
2.896,-2.5
2.898,-2.4
2.9,-2.1
2.902,-2.1
2.904,-2.6
2.906,-2.9
2.908,-2.9
2.91,-3.1
2.912,-2.5
2.914,-2.4
2.916,-2.7
2.918,-2.2
2.92,-1.8
2.922,-2.3
2.924,-2.8
2.926,-3.2
2.928,-3.3
2.93,-3.9
2.932,-4.4
2.934,-4.4
2.936,-3.9
2.938,-3.1
2.94,-2.1
2.942,-0.7
2.944,1.0
2.946,1.7
2.948,3.4
2.95,4.8
2.952,5.9
2.954,5.9
2.956,5.4
2.958,4.4
2.96,3.6
2.962,2.7
2.964,2.5
2.966,1.5
2.968,0.1
2.97,-2.3
2.972,-4.4
2.974,-5.7
2.976,-5.2
2.978,-5.4
2.98,-4.2
2.982,-4.5
2.984,-5.1
2.986,-5.1
2.988,-5.3
2.99,-5.0
2.992,-4.9
2.994,-4.5
2.996,-3.9
2.998,-4.0
3.0,-3.5
3.0020000000000002,-3.1
